timestep,chunk,coord,ncount,temperature
2000000,15,0.3625,67.917,304.573
2000000,16,0.3875,27.7185,302.369
2000000,17,0.4125,84.3485,300.098
2000000,18,0.4375,44.505,298.041
2000000,19,0.4625,45.5105,297.832
2000000,20,0.4875,68.808,299.742
2000000,21,0.5125,27.447,297.001
2000000,22,0.5375,83.73,298.742
2000000,23,0.5625,44.499,299.253
2000000,24,0.5875,45.5165,297.564
2000000,25,0.6125,69.3025,295.095
2000000,26,0.6375,26.6595,295.32
2000000,27,0.6625,84.0225,291.698
2000000,28,0.6875,44.5925,283.956
2000000,29,0.7125,45.4225,281.667
2000000,30,0.7375,68.893,281.552
2000000,31,0.7625,25.934,278.512
2000000,32,0.7875,85.172,280.563
2000000,33,0.8125,44.875,279.253
2000000,34,0.8375,45.126,280.563
2000000,35,0.8625,78.524,279.655
2000000,36,0.8875,11.476,279.509
2000000,37,0.9125,0.0,
2000000,38,0.9375,0.0,
2000000,39,0.9625,0.0,
2000000,40,0.9875,0.0,
2400000,1,0.0125,0.0,
2400000,2,0.0375,0.0,
2400000,3,0.0625,0.0,
2400000,4,0.0875,0.0,
2400000,5,0.1125,71.087,318.588
2400000,6,0.1375,24.3385,320.029
2400000,7,0.1625,84.571,320.579
2400000,8,0.1875,44.744,320.332
2400000,9,0.2125,45.26,320.251
2400000,10,0.2375,69.2185,319.784
2400000,11,0.2625,26.6915,320.17
2400000,12,0.2875,84.078,317.248
2400000,13,0.3125,44.533,316.673
2400000,14,0.3375,45.4785,308.634
2400000,15,0.3625,68.855,306.718
2400000,16,0.3875,27.149,302.519
2400000,17,0.4125,83.9825,301.681
2400000,18,0.4375,44.592,303.175
2400000,19,0.4625,45.4215,300.221
2400000,20,0.4875,70.272,300.098
2400000,21,0.5125,26.692,299.205
2400000,22,0.5375,83.0175,298.252
2400000,23,0.5625,44.4765,297.547
2400000,24,0.5875,45.542,297.249
2400000,25,0.6125,68.856,296.704
2400000,26,0.6375,26.8685,294.06
2400000,27,0.6625,84.272,290.333
2400000,28,0.6875,44.718,284.333
2400000,29,0.7125,45.2855,282.355
2400000,30,0.7375,69.97,281.354
2400000,31,0.7625,25.3055,282.343
2400000,32,0.7875,84.7245,279.829
2400000,33,0.8125,44.893,279.603
2400000,34,0.8375,45.107,279.959
2400000,35,0.8625,78.5425,281.357
2400000,36,0.8875,11.4575,280.439
2400000,37,0.9125,0.0,
2400000,38,0.9375,0.0,
2400000,39,0.9625,0.0,
2400000,40,0.9875,0.0,
2800000,1,0.0125,0.0,
2800000,2,0.0375,0.0,
2800000,3,0.0625,0.0,
2800000,4,0.0875,0.0,
2800000,5,0.1125,69.3955,319.722
2800000,6,0.1375,25.0465,321.923
2800000,7,0.1625,85.5545,319.591
2800000,8,0.1875,44.743,320.601
2800000,9,0.2125,45.2605,319.377
2800000,10,0.2375,70.297,319.913
2800000,11,0.2625,26.3115,319.695
2800000,12,0.2875,83.382,317.395
2800000,13,0.3125,44.4285,317.503
2800000,14,0.3375,45.5815,307.735
2800000,15,0.3625,68.0365,303.597
2800000,16,0.3875,27.6165,301.121
2800000,17,0.4125,84.329,300.136
2800000,18,0.4375,44.5055,300.803
2800000,19,0.4625,45.512,297.438
2800000,20,0.4875,69.555,299.502
2800000,21,0.5125,26.957,302.36
2800000,22,0.5375,83.4755,299.44
2800000,23,0.5625,44.447,299.962
2800000,24,0.5875,45.566,295.338
2800000,25,0.6125,69.29,295.904
2800000,26,0.6375,26.808,295.264
2800000,27,0.6625,83.894,290.498
2800000,28,0.6875,44.6055,284.353
2800000,29,0.7125,45.402,280.524
2800000,30,0.7375,68.275,280.647
2800000,31,0.7625,26.257,280.78
2800000,32,0.7875,85.4675,281.438
2800000,33,0.8125,44.9005,281.14
2800000,34,0.8375,45.1,280.571
2800000,35,0.8625,78.787,279.799
2800000,36,0.8875,11.213,280.074
2800000,37,0.9125,0.0,
2800000,38,0.9375,0.0,
2800000,39,0.9625,0.0,
2800000,40,0.9875,0.0,
3200000,1,0.0125,0.0,
3200000,2,0.0375,0.0,
3200000,3,0.0625,0.0,
3200000,4,0.0875,0.0,
3200000,5,0.1125,71.4905,320.667
3200000,6,0.1375,23.9665,320.577
3200000,7,0.1625,84.5385,319.636
3200000,8,0.1875,44.7115,320.167
3200000,9,0.2125,45.293,321.817
3200000,10,0.2375,69.1865,318.957
3200000,11,0.2625,26.7315,316.885
3200000,12,0.2875,84.0715,317.175
3200000,13,0.3125,44.5515,315.755
3200000,14,0.3375,45.459,307.886
3200000,15,0.3625,68.776,305.815
3200000,16,0.3875,27.308,303.836
3200000,17,0.4125,83.904,302.325
3200000,18,0.4375,44.561,300.372
3200000,19,0.4625,45.452,301.496
3200000,20,0.4875,70.1885,299.888
3200000,21,0.5125,26.8405,298.836
3200000,22,0.5375,82.9525,298.063
3200000,23,0.5625,44.432,299.718
3200000,24,0.5875,45.586,298.741
3200000,25,0.6125,68.9405,297.461
3200000,26,0.6375,26.8595,294.446
3200000,27,0.6625,84.195,291.19
3200000,28,0.6875,44.6985,284.519
3200000,29,0.7125,45.306,281.298
3200000,30,0.7375,69.874,282.442
3200000,31,0.7625,25.354,279.718
3200000,32,0.7875,84.77,279.649
3200000,33,0.8125,44.8875,280.942
3200000,34,0.8375,45.1145,280.801
3200000,35,0.8625,78.5845,278.131
3200000,36,0.8875,11.4155,278.455
3200000,37,0.9125,0.0,
3200000,38,0.9375,0.0,
3200000,39,0.9625,0.0,
3200000,40,0.9875,0.0,
3600000,1,0.0125,0.0,
3600000,2,0.0375,0.0,
3600000,3,0.0625,0.0,
3600000,4,0.0875,0.0,
3600000,5,0.1125,70.235,319.68
3600000,6,0.1375,24.4945,319.243
3600000,7,0.1625,85.2665,319.105
3600000,8,0.1875,44.7235,318.755
3600000,9,0.2125,45.2805,318.718
3600000,10,0.2375,69.361,319.698
3600000,11,0.2625,26.8285,317.578
3600000,12,0.2875,83.795,318.915
3600000,13,0.3125,44.402,316.997
