# Chunk-averaged data for fix fp and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_tatom
400000 40 3040.0000000000005
  30 0.7375 88.2425 296.514
  31 0.7625 71.659 292.796
  32 0.7875 88.9825 293.052
  33 0.8125 70.9855 294.216
  34 0.8375 88.5215 295.211
  35 0.8625 71.329 291.859
  36 0.8875 89.743 288.531
  37 0.9125 70.182 286.906
  38 0.9375 89.217 280.562
  39 0.9625 70.716 279.757
  40 0.9875 0 0
2400000 40 3040
  1 0.0125 0 0
  2 0.0375 89.6925 320.038
  3 0.0625 70.4355 318.89
  4 0.0875 87.8985 310.418
  5 0.1125 72.2045 305.712
  6 0.1375 88.3725 303.554
  7 0.1625 71.7975 303.665
  8 0.1875 87.955 300.753
  9 0.2125 72.1325 297.875
  10 0.2375 87.627 298.616
  11 0.2625 72.7345 298.981
  12 0.2875 87.7 297.373
  13 0.3125 72.49 299.077
  14 0.3375 86.89 301.105
  15 0.3625 73.097 300.98
  16 0.3875 87.581 297.334
  17 0.4125 72.696 296.642
  18 0.4375 86.8505 297.444
  19 0.4625 73.078 295.358
  20 0.4875 87.1345 296.074
  21 0.5125 73.008 294.63
  22 0.5375 86.8965 295.382
  23 0.5625 72.949 294.56
  24 0.5875 87.433 294.916
  25 0.6125 72.5825 293.785
  26 0.6375 87.0875 294.963
  27 0.6625 72.606 294.38
  28 0.6875 87.66 297.472
  29 0.7125 72.1735 295.878
  30 0.7375 87.6595 294.651
  31 0.7625 72.2385 294.196
  32 0.7875 87.98 293.289
  33 0.8125 71.753 295.261
  34 0.8375 88.2925 292.105
  35 0.8625 71.556 291.389
  36 0.8875 88.2475 289.519
  37 0.9125 71.5895 289.6
  38 0.9375 90.1155 282.889
  39 0.9625 69.805 280.494
  40 0.9875 0 0
2800000 40 3040
  1 0.0125 0 0
  2 0.0375 89.7055 319.065
  3 0.0625 70.3865 319.362
  4 0.0875 87.6535 312.911
  5 0.1125 72.3175 308.64
  6 0.1375 88.2595 310.82
  7 0.1625 71.8025 312
  8 0.1875 88.083 308.768
  9 0.2125 71.98 306.161
  10 0.2375 87.605 304.502
  11 0.2625 72.4885 304.666
  12 0.2875 88.2115 307.271
  13 0.3125 71.8695 305.993
  14 0.3375 87.5405 302.688
  15 0.3625 72.368 299.771
  16 0.3875 88.2195 299.597
  17 0.4125 72.0235 302.091
  18 0.4375 87.353 302.225
  19 0.4625 72.555 299.113
  20 0.4875 88.004 298.852
  21 0.5125 72.0245 301.545
  22 0.5375 87.1155 301.38
  23 0.5625 72.698 298.517
  24 0.5875 88.0435 298.233
  25 0.6125 72.239 298.089
  26 0.6375 86.8395 298.319
  27 0.6625 73.027 296.762
  28 0.6875 87.9635 298.157
  29 0.7125 72.0035 296.685
  30 0.7375 87.4805 294.843
  31 0.7625 72.4135 292.897
  32 0.7875 87.9325 294.084
  33 0.8125 71.989 293.104
  34 0.8375 88.4095 289.911
  35 0.8625 71.533 291.991
  36 0.8875 87.152 291.673
  37 0.9125 72.7365 289.47
  38 0.9375 91.2415 281.219
  39 0.9625 68.732 278.863
  40 0.9875 0 0
3200000 40 3039.9999999999986
  1 0.0125 0 0
  2 0.0375 86.0895 321.073
  3 0.0625 73.927 320.248
  4 0.0875 89.2145 313.879
  5 0.1125 71.222 313.344
  6 0.1375 86.79 312.557
  7 0.1625 72.9785 309.735
  8 0.1875 88.256 311.161
  9 0.2125 71.9155 311.136
  10 0.2375 87.397 309.567
  11 0.2625 72.6415 308.962
  12 0.2875 87.7605 308.076
  13 0.3125 72.346 305.999
  14 0.3375 87.5415 306.901
  15 0.3625 72.245 305.006
  16 0.3875 88.0165 301.351
  17 0.4125 72.285 300.177
  18 0.4375 87.6435 300.517
  19 0.4625 72.2065 299.415
  20 0.4875 87.7785 300.92
  21 0.5125 72.02 298.418
  22 0.5375 88.2205 295.831
  23 0.5625 71.9205 297.435
  24 0.5875 87.8725 297.673
  25 0.6125 72.078 298.176
  26 0.6375 88.295 296.271
  27 0.6625 71.6945 295.731
  28 0.6875 88.1245 298.204
  29 0.7125 71.702 296.574
  30 0.7375 88.6765 295.774
  31 0.7625 71.5595 293.221
  32 0.7875 87.649 293.239
  33 0.8125 72.07 291.934
  34 0.8375 89.336 292.41
  35 0.8625 70.7395 292.304
  36 0.8875 87.567 293.208
  37 0.9125 72.2515 289.433
  38 0.9375 91.393 281.038
  39 0.9625 68.576 281.883
  40 0.9875 0 0
3600000 40 3039.9999999999986
  1 0.0125 0 0
  2 0.0375 89.3285 319.816
  3 0.0625 70.824 320.701
  4 0.0875 88.0495 312.738
  5 0.1125 72.0185 308.952
  6 0.1375 88.392 311.694
  7 0.1625 71.8305 312.372
  8 0.1875 88.3985 309.251
  9 0.2125 71.6655 310.244
  10 0.2375 88.0225 306.311
  11 0.2625 72.151 307.79
  12 0.2875 88.221 309.701
  13 0.3125 71.756 308.282
  14 0.3375 87.4985 306.135
