t_ps E_hot_eV E_cold_eV
0 0 0
10 -27.5216910631952 23.9046856255703
20 -51.5781675568127 45.7955411930815
30 -68.1230670507933 66.8620317202165
40 -89.4088452482423 86.368383465809
50 -112.584368072939 109.03126739657
60 -133.527100367352 129.633859314235
70 -156.590118422063 158.88793084984
80 -179.64340421219 181.700720311278
90 -201.35894530074 200.798706593087
100 -218.809711345935 220.830883726767
110 -242.209650176456 243.803776080769
120 -264.450258164956 262.535119659537
130 -288.542769939156 284.068842640181
140 -310.984982690645 311.677514142933
150 -334.673847891275 328.941479265956
160 -357.566516824746 355.471432021957
170 -380.107642095801 376.448809704995
180 -402.20839948634 405.240040729127
190 -425.72485664418 426.373462098834
200 -448.843662670267 443.376192874942
210 -470.616067527126 473.922174550921
220 -494.827222753042 496.303144946913
230 -522.57494969081 518.210827987351
240 -542.866132705147 538.633018089317
250 -558.995741694972 561.691085494042
260 -591.065624933612 586.940456560055
270 -612.077630261906 605.977234216072
280 -639.903468276625 635.817468123504
290 -665.116879706987 657.673100853798
300 -687.953179875399 683.915656904308
310 -712.696992846436 705.85576665728
320 -733.242848694556 730.696465618156
330 -756.329829601523 754.760402095799
340 -777.359416752402 772.462529247607
350 -794.896455046122 791.112760296723
360 -816.820841533193 814.157131675465
370 -837.13110577857 835.757744039532
380 -857.455412169028 854.035528327645
390 -876.104298417721 874.688933769101
400 -902.455940586199 901.597769436801
410 -920.361433343541 921.665961416043
420 -944.587289187569 945.631163919174
430 -969.855736979325 970.82794833994
440 -999.922331327651 993.534656233385
450 -1015.67684183308 1016.81448647222
460 -1034.98346734641 1032.56263105548
470 -1055.95485089782 1054.07890458414
480 -1071.68402551851 1071.89509770038
490 -1097.23999448813 1094.95766333846
500 -1119.89962918485 1118.18935097207
510 -1143.61114119067 1141.46672407095
520 -1159.4814118753 1157.13945100499
530 -1185.01255779634 1185.95457279557
540 -1208.93388857062 1205.24248928973
550 -1233.33617854215 1232.79748595032
560 -1254.62725525984 1251.02013792971
570 -1275.81584376096 1274.24994688871
580 -1303.03909352644 1298.01734449396
590 -1324.37052479047 1322.43116371129
600 -1343.77100479645 1340.08832989681
610 -1362.89481827224 1362.79234779121
620 -1389.66576023498 1386.51514135773
630 -1414.0057663045 1410.69735905009
640 -1432.28354983921 1429.34244858234
650 -1458.05732654699 1455.57842178317
660 -1484.07975591477 1482.93603585658
670 -1505.81149217402 1507.66861429935
680 -1528.88830533482 1528.11556060693
690 -1551.63533365803 1552.85835607371
700 -1568.16692721733 1568.94589955228
710 -1593.77180367107 1590.89858566818
720 -1617.89918351706 1616.71896774071
730 -1639.20218864274 1641.57377615863
740 -1672.28644380147 1667.23529503134
750 -1683.88086403224 1684.30982867778
760 -1712.10498236978 1707.04482789785
770 -1732.73904439179 1734.49128704222
780 -1754.24626091515 1750.35284580357
790 -1777.26661755271 1772.60561786441
800 -1799.23948718572 1795.94763549055
810 -1819.46854003474 1816.69593079367
820 -1841.09078558108 1841.46273559218
830 -1862.71794244437 1863.26725878492
840 -1886.78421705978 1886.32960378028
850 -1906.24604541531 1906.9760807321
860 -1928.72068598143 1932.26608316376
870 -1947.67633938098 1945.48989783929
880 -1971.26235822219 1967.91869166502
890 -1993.26738545717 1989.70961907289
900 -2017.30355126825 2016.10256029301
910 -2041.76282446493 2038.23939465106
920 -2069.13036044455 2064.7646750136
930 -2092.47563995163 2090.33549293207
940 -2112.56125310525 2109.15385264518
950 -2133.99179839072 2132.3932347192
960 -2162.54483748648 2156.98131456692
970 -2183.29213851598 2177.7337424345
980 -2204.33854135291 2201.39596531003
990 -2222.79463601302 2225.87537905322
1000 -2248.97625982146 2246.62397752279
1010 -2263.50833895394 2263.8994625041
1020 -2283.72903313592 2282.49811721336
1030 -2299.67272837847 2301.73486952364
1040 -2324.84093509066 2322.66038694838
1050 -2344.93871307934 2348.82654144362
1060 -2371.39562999058 2368.19480964516
1070 -2392.37967092177 2394.9566267191
1080 -2411.26618140018 2408.67281947335
1090 -2437.90169482129 2436.57028819395
1100 -2461.67419169106 2453.80098307468
1110 -2479.11761724124 2479.20573944925
1120 -2501.48471412914 2498.23672504251
1130 -2526.24183119776 2524.5189731774
1140 -2552.48098702919 2545.52052994485
1150 -2567.02053344815 2563.61853469501
1160 -2587.233416082 2586.78079109094
1170 -2611.67571521651 2610.47239221369
1180 -2638.54472067684 2633.41975092974
1190 -2662.14857777078 2659.79930551754
1200 -2682.82399473146 2678.70909931551
1210 -2703.22821811091 2700.06186174191
1220 -2724.38774455486 2722.97918663792
1230 -2742.61738340292 2742.43558791043
1240 -2761.22506237017 2763.86049061338
1250 -2787.66746035475 2786.74262598471
1260 -2813.19858148085 2809.57324043141
1270 -2839.88251973347 2835.58352899893
1280 -2857.44513356016 2857.09205042714
1290 -2882.78484539872 2881.78930916316
1300 -2907.25173828225 2905.71035187137
1310 -2930.0063404278 2926.6317347154
1320 -2949.39761138492 2951.11730929945
1330 -2973.39131896048 2970.68232645809
1340 -2991.21683748098 2984.60497124257
1350 -3010.04543157541 3008.82020731494
1360 -3036.01909899701 3032.69697717636
1370 -3057.29669026264 3050.88548416273
1380 -3072.49584881201 3071.66108284667
1390 -3101.39066516703 3095.33452033566
1400 -3120.36934626578 3120.12793607422
1410 -3146.37753894557 3148.04335858552
1420 -3165.70139206177 3168.80640429083
1430 -3191.19287350581 3192.9747918221
1440 -3219.27172807689 3212.91801505611
1450 -3234.45256306905 3241.13414551722
1460 -3270.69207612881 3264.53085544717
1470 -3289.2193808674 3288.13801116632
1480 -3316.585238095 3313.11711069727
1490 -3339.18489530547 3334.67050630716
1500 -3356.77016343318 3358.87966716143
1510 -3382.85449843517 3380.05976124964
1520 -3405.6971630304 3404.33407094108
1530 -3420.31621403269 3416.63010030142
1540 -3441.49680198043 3438.71100444668
1550 -3467.35089744161 3462.92893699201
1560 -3487.28965647823 3480.96753863122
1570 -3503.70881653124 3502.80624425058
1580 -3524.87541165838 3526.16976455942
1590 -3546.75592059206 3544.32077555834
1600 -3572.22185431668 3569.32859175932
1610 -3592.96125079473 3590.39225374239
1620 -3613.75963513966 3609.74694886148
1630 -3631.32507436483 3627.76150326713
1640 -3650.50739822131 3651.79079517772
1650 -3675.88790591903 3670.1282167233
1660 -3693.82148397501 3691.60535206684
1670 -3718.03614095631 3717.2308112171
1680 -3735.57212371519 3732.43300809475
1690 -3762.86050878307 3762.65194114794
1700 -3784.16205828635 3782.28026253239
1710 -3810.49743770901 3811.98131774382
1720 -3835.15319437907 3833.31251952297
1730 -3855.40153267104 3852.18082027658
1740 -3880.59236502857 3875.78773735247
1750 -3901.9713185444 3899.52441241845
1760 -3924.60805929568 3921.98061686483
1770 -3948.55794321187 3946.02170777098
1780 -3969.55764744659 3963.27729058705
1790 -3987.12884080005 3981.45227776974
1800 -4009.55749684734 4007.47290276951
1810 -4027.13695318997 4023.69229291684
1820 -4055.09222371413 4051.64032992021
1830 -4076.63501348342 4076.73969227016
1840 -4101.05599201687 4097.40361612813
1850 -4123.49797629462 4118.56669325489
1860 -4134.62462309256 4132.00024383599
1870 -4158.77374048506 4158.88984959967
1880 -4181.61389012419 4184.15265128721
1890 -4212.25803214031 4206.72695774876
1900 -4235.52519174137 4233.18269579366
1910 -4262.0925916201 4256.86121704707
1920 -4280.541390209 4280.42235744372
1930 -4300.26382572775 4302.32593499297
1940 -4328.01672667808 4329.97017498154
1950 -4351.88320227373 4349.64840351121
1960 -4375.40621539027 4372.30569534101
1970 -4394.01551899025 4397.72750750501
1980 -4417.61021446387 4419.40085069257
1990 -4444.06164670808 4446.02390854867
2000 -4466.1427493081 4467.38149159371
