t_ps E_hot_eV E_cold_eV
0 0 0
10 -6.04729672413216 3.83383049316709
20 -7.0421288392397 6.93331470474035
30 -10.5086260108534 8.89180016438177
40 -7.77353809937071 12.0217378061262
50 -10.3558259949172 12.8099577599027
60 -12.9651002669531 15.2991897511358
70 -15.2639701034325 17.5537955710023
80 -18.7985979885384 20.1936472579611
90 -21.7417713806824 21.9489071703358
100 -22.507672030706 24.2895886077633
110 -23.6378275036293 26.9877175521029
120 -26.1646076024071 29.795961440275
130 -27.0868730263252 32.3584884461054
140 -31.1307027649788 33.0529819059254
150 -35.0617354200115 34.9037987441342
160 -40.9247069934042 37.3517481244078
170 -41.5327239078214 43.3930896621827
180 -42.9824309180573 43.0354505087548
190 -43.4825091723506 46.5020490062966
200 -46.3272420222777 49.3724205470299
210 -47.0628009506686 50.8708722421751
220 -47.4321595087717 52.6694392540647
230 -48.7562643139736 57.6318038715416
240 -52.8558299573174 59.1759771518868
250 -55.8772234500038 62.25301929849
260 -59.2066295303855 63.7504288531159
270 -58.0080009022317 65.0239356194718
280 -60.8051933278879 68.2850473649716
290 -67.7345656977681 69.009875106064
300 -71.7472662471642 72.1476261506649
310 -68.9531038570565 74.4088126616619
320 -73.6475803619495 76.7523630671532
330 -74.3564580388221 78.2688531483696
340 -77.0988756540136 79.7243261031192
350 -78.478680806251 81.7320086828978
360 -79.4467858001317 83.0535979867548
370 -78.9471034861785 86.0776769035039
380 -82.0631060049893 85.9038653092538
390 -85.6786900972186 87.4919902196208
400 -89.0301153074913 90.8017763865517
410 -90.8117481320946 91.5993364807313
420 -91.5866435816675 93.6943394027785
430 -94.5298593933884 96.6602904342018
440 -100.160097123944 97.8319716065367
450 -103.246195644425 100.886486738476
460 -102.95015198736 103.963568278271
470 -105.84839682153 107.910439431886
480 -108.656989817283 110.723063794532
490 -111.019107922503 110.381750271893
500 -113.475847526572 114.936045623054
510 -117.120062924605 117.488205548688
520 -120.456272471027 120.523594161968
530 -120.626164854627 123.288511569793
540 -120.819953160959 124.444261570632
550 -124.87372027213 127.932379927285
560 -124.763817829842 130.259699303146
