timestep,chunk,coord,ncount,temperature
2000000,10,0.2375,47.852,304.815
2000000,11,0.2625,63.6365,305.878
2000000,12,0.2875,47.822,304.175
2000000,13,0.3125,48.425,303.78
2000000,14,0.3375,62.938,302.806
2000000,15,0.3625,47.1365,302.615
2000000,16,0.3875,49.9125,300.646
2000000,17,0.4125,60.707,302.032
2000000,18,0.4375,46.205,297.595
2000000,19,0.4625,53.0855,299.806
2000000,20,0.4875,56.914,296.791
2000000,21,0.5125,45.583,297.736
2000000,22,0.5375,57.503,298.927
2000000,23,0.5625,52.7805,300.469
2000000,24,0.5875,46.3065,297.728
2000000,25,0.6125,60.912,296.782
2000000,26,0.6375,49.815,296.276
2000000,27,0.6625,47.2315,298.781
2000000,28,0.6875,62.937,295.693
2000000,29,0.7125,48.373,294.251
2000000,30,0.7375,47.826,295.957
2000000,31,0.7625,63.5895,293.022
2000000,32,0.7875,47.9985,290.165
2000000,33,0.8125,48.2585,290.843
2000000,34,0.8375,63.457,292.287
2000000,35,0.8625,46.9025,289.856
2000000,36,0.8875,49.6125,283.529
2000000,37,0.9125,61.9495,280.297
2000000,38,0.9375,46.959,280.718
2000000,39,0.9625,19.0915,278.302
2000000,40,0.9875,0.0,
2400000,1,0.0125,0.0,
2400000,2,0.0375,32.0,321.312
2400000,3,0.0625,52.083,321.135
2400000,4,0.0875,46.0285,320.399
2400000,5,0.1125,61.8865,315.011
2400000,6,0.1375,49.496,309.772
2400000,7,0.1625,47.2775,308.121
2400000,8,0.1875,63.1655,307.565
2400000,9,0.2125,48.3525,304.334
2400000,10,0.2375,47.9545,304.005
2400000,11,0.2625,63.423,303.41
2400000,12,0.2875,47.574,301.363
2400000,13,0.3125,48.786,301.389
2400000,14,0.3375,62.258,303.179
2400000,15,0.3625,47.094,303.514
2400000,16,0.3875,50.6275,302.798
2400000,17,0.4125,59.9615,298.677
2400000,18,0.4375,46.076,302.784
2400000,19,0.4625,53.9575,302.708
2400000,20,0.4875,56.4165,301.84
2400000,21,0.5125,46.4465,300.729
2400000,22,0.5375,57.1345,299.802
2400000,23,0.5625,53.157,298.613
2400000,24,0.5875,46.129,300.203
2400000,25,0.6125,60.694,297.232
2400000,26,0.6375,49.958,299.701
2400000,27,0.6625,47.24,300.786
2400000,28,0.6875,62.773,298.141
2400000,29,0.7125,48.356,295.357
