t_ps E_hot_eV E_cold_eV
0 0 0
10 -9.33216821456037 9.18049849024912
20 -17.3428774544987 17.8537035185053
30 -25.1307916275755 26.8188938504606
40 -30.8194966372813 32.8852360212748
50 -39.7288474530432 40.6106877128025
60 -48.9753301825623 49.5468323705259
70 -53.1023081391346 54.5803691617135
80 -66.534534764963 65.0319072572628
90 -72.4275109911842 71.5640276513481
100 -75.219496529114 77.7195989787949
110 -81.4683048688365 84.8543532372269
120 -88.2055664364129 89.5789515846851
130 -92.315078114728 96.998353898752
140 -99.4335015586645 103.484883231182
150 -107.183345594757 108.853499806197
160 -110.811001526612 116.808528061544
170 -118.706573023737 125.156758353651
180 -128.852327028738 131.700496523244
190 -135.591360300707 138.362495959943
200 -143.708048675552 144.93679773621
210 -149.050077082619 149.117328832121
220 -156.294635850129 159.076462697789
230 -165.110958023349 166.829442449696
240 -172.407272862499 175.742095293751
250 -182.191724964815 182.326443384521
260 -191.512136710629 192.090384474183
270 -204.275084817681 201.629343012949
280 -212.80429247963 211.813125743981
290 -214.23531950747 218.624299749957
300 -226.674229468351 228.35448880373
310 -233.185348515496 234.126884155912
320 -242.011002760301 241.253751976495
330 -251.407815965631 251.94821711829
340 -260.191766171851 261.957594395156
350 -266.373463194313 265.231090160272
360 -274.247434029571 273.608001455162
370 -282.880488044605 281.638772913761
380 -285.952189222371 286.943105326837
390 -294.741424668275 294.480885426964
400 -301.345825115159 302.780673347431
410 -311.67761063135 310.101033840556
420 -317.540757239768 317.294911752645
430 -320.709207235382 324.018955446167
440 -325.279617539499 329.581401829638
450 -333.643143190482 334.010893323842
460 -340.197977354556 344.237792323701
470 -349.554471174947 350.309196734128
480 -352.948912630616 358.102514445838
490 -359.47752728736 362.937336108774
500 -371.705905956164 373.742409698284
510 -384.534101242835 387.813292425724
520 -393.472199570367 390.593665653825
530 -403.471400666063 401.160533123283
540 -408.75156181065 411.770046665344
550 -416.163430037755 417.279610494245
560 -422.085020487849 426.059133727052
570 -428.404933546446 433.068984853665
580 -437.842476567221 438.403251025733
590 -447.737067712488 446.905387387839
600 -453.817326721943 455.405482875039
610 -461.685684426862 463.170774425509
620 -466.561965710399 470.143549221486
630 -471.691413544789 473.047397644725
640 -476.270278877251 478.868442617861
650 -480.126830833666 481.156228144091
660 -482.16790554036 486.528789865334
670 -488.137571597516 488.717046099766
680 -496.325315564547 495.762219170895
690 -500.938181273121 502.278407854593
700 -507.804890757109 510.29614992297
710 -513.097197203865 514.087767668742
720 -516.625039200893 517.115189324676
730 -530.328077299987 529.225210292051
740 -534.279299030742 539.572577734619
750 -542.975295256748 543.921551533601
760 -548.880384532325 552.610573816867
770 -553.489360960254 559.049404339543
780 -562.791101950923 565.001658776833
790 -567.294078255017 571.833150118182
800 -573.839801461098 578.166885135482
810 -580.633420898814 583.84991586724
820 -589.527152780184 590.289456984074
830 -598.908388766541 599.09782354673
840 -604.239542913521 605.567892679745
850 -613.418263143223 615.47891064187
860 -621.872716157195 623.730965159188
870 -629.068048720263 630.52190893914
880 -633.850370752892 637.823043632703
890 -641.697575771862 644.707273121388
900 -648.290577036362 649.695173531582
910 -654.660856666709 657.112994676751
920 -660.99135117317 665.181729654361
930 -670.786649187359 671.048480719326
940 -676.064281008886 679.206602581925
950 -681.454716468628 683.144093431524
960 -684.056754289445 685.332638209785
970 -691.19185128201 695.223066726287
980 -704.544722719662 704.307739910777
990 -715.201620579686 713.662129612425
1000 -718.516244146308 721.308425819801
1010 -724.938698767939 729.386383419385
1020 -732.349731302102 733.04771851916
1030 -739.510866788493 743.058457942471
1040 -745.893055156811 749.379661768369
1050 -752.301318358969 755.237245673165
1060 -758.357770294482 760.576491390722
1070 -765.393359534211 768.513668823524
1080 -772.681950637982 774.018331537355
1090 -781.29667026068 783.326616388789
1100 -788.408217399919 792.044381938553
1110 -795.953023836413 799.742171617497
