t_ps E_hot_eV E_cold_eV
0 0 0
10 -1.53636547310446 0.172304718658394
20 -5.20090735550785 3.4948245245611
30 -7.51964216427233 4.88749139321023
40 -9.68783794211546 8.34487410808637
50 -11.4287656457896 12.0296375852829
60 -16.2066367896401 14.9120149486418
70 -19.0659468887316 20.6489321514625
80 -24.218733475914 23.3926967366018
90 -27.7515687369312 27.2049309216158
100 -30.4402336825893 29.9767284650166
110 -31.6904086889538 32.5767926701589
120 -35.6283086617789 37.1872310527717
130 -38.7968959935292 37.3219110928203
140 -43.4605162353634 42.1662501561557
150 -45.8641799463817 42.8841525709996
160 -46.9690137157214 45.0970669362011
170 -52.8575433473464 49.4103572744431
180 -53.4369459653729 53.7854542600662
190 -57.2988194127118 56.2740093495463
200 -59.6450938993354 58.7901298395466
210 -60.6997023652137 58.2896274398588
220 -63.4626961437885 60.6777127497333
230 -65.0208543491549 64.2698567489706
240 -68.6154647321172 70.3489179903177
250 -71.7437390757152 70.3742235922836
260 -73.6048758149623 76.5360137908108
270 -78.1786822353207 78.9801984135346
280 -81.7561963631665 82.2236461411116
290 -84.8293375004702 84.0742772519274
300 -86.8168466913267 86.1686089620293
310 -90.0638484755494 89.0107890885432
320 -93.1631392331307 93.9652182621108
330 -95.9317715209833 97.0712023495197
340 -99.9283096692513 97.9680901833203
350 -103.924278125777 102.804109639341
360 -109.740662619505 109.178114630791
370 -114.659998304973 113.932712069639
380 -117.169857656752 118.145195496098
390 -118.982301235396 121.931840059962
400 -124.77244136672 125.971728526882
410 -126.883669594463 128.622680473175
420 -128.674713538178 130.626893336329
430 -132.127295756785 129.162292659827
440 -134.08838657655 132.502404808058
450 -135.686211425126 135.310439097799
460 -139.484665614561 136.073223509876
470 -140.981311443593 137.922515487829
480 -145.111293990866 142.534731698718
490 -149.525204075762 145.032180776678
500 -150.687729617688 148.007537144604
510 -154.521263760659 150.540678560002
520 -157.034492766011 152.699098396995
530 -160.362119882968 154.92927013048
540 -162.622149909202 161.287103592488
550 -167.07323030951 166.150384685474
560 -170.550137165499 171.241468794006
570 -172.282804623159 174.940230733204
580 -175.998619299507 174.92714812548
590 -179.946083954663 179.39372163527
600 -180.440216297596 180.712704923173
610 -183.783940032938 185.793625245159
620 -189.558238939524 186.920252879923
630 -190.147975446661 189.233417228394
640 -193.455192793158 193.131034177499
650 -198.262261858915 193.771130344941
660 -201.421791350082 197.823925426836
670 -202.737399045276 199.072704560503
680 -205.116923016437 200.880178947784
690 -206.369916111444 204.073525206183
700 -211.18808920842 207.071654911625
710 -212.409661131355 209.619187443767
720 -214.019368585545 213.194869760597
730 -219.128127862095 217.170931909633
740 -222.991751831029 221.980635619454
750 -224.783481020571 224.409463448108
760 -229.407239152096 227.895125014478
770 -233.21004117526 234.403951067893
780 -235.56138628483 238.277491606802
790 -242.188643914748 239.423975029528
800 -244.363240446469 245.532813534404
810 -247.809976425901 247.739364258859
820 -250.461339984189 250.838320921483
830 -251.025600219596 255.227435645022
840 -254.506179717787 255.395064715171
850 -258.339062136878 257.664398093475
860 -261.710170343135 258.757393358024
870 -266.61295029852 267.121164997456
880 -271.66481795643 268.448382504692
890 -272.486032237472 270.322074297982
900 -276.078343509136 273.649354127866
910 -278.978266173243 275.634532395963
920 -278.906817453782 278.937588778917
930 -282.368480324611 281.354927537615
940 -285.434030671063 285.860872469207
950 -290.35806006744 288.100334980354
960 -291.378168001807 289.737951821525
970 -296.975925245995 293.187632288049
980 -295.076273884912 296.648536918748
990 -297.124481887063 299.145901177654
1000 -300.183040656439 301.089420376651
1010 -301.844316539758 302.812326321003
1020 -303.810628126305 305.612132636971
1030 -309.729003754404 310.180812202661
1040 -311.391884844125 311.720188321384
1050 -314.363342392161 313.54608316399
1060 -317.2433432214 314.72988857623
1070 -320.616445672094 317.589381072083
1080 -320.273428268584 321.724375810027
1090 -321.437877230104 321.668163145963
1100 -323.849757296016 325.145646362805
1110 -326.820616534414 328.543880275196
1120 -330.844983225302 331.158071628508
1130 -331.668698922995 331.940522670492
1140 -337.945502693126 337.831216313646
1150 -341.669584352431 340.481318872891
1160 -345.662919961889 346.1645757
1170 -350.435126732884 351.51767840185
1180 -354.429706703792 353.160459713508
1190 -359.290994571937 354.792396794648
1200 -360.564913943997 358.04231757844
1210 -363.35255656989 361.219849685278
1220 -364.185889599395 365.934084238587
1230 -366.16924717825 366.192496480608
1240 -369.340824768893 367.512008909114
1250 -372.712061392013 372.7673430977
1260 -374.468201392134 376.320681190782
1270 -378.761670304373 378.927229720411
1280 -383.085719049566 382.2755907915
1290 -384.298732707743 382.290723830187
1300 -386.674649602055 384.951530831163
1310 -386.924752769135 387.630405529348
1320 -393.14294655062 389.140510598224
1330 -396.217759405512 393.220218054618
1340 -401.543056901738 397.302090093754
1350 -403.386180583349 398.397271875388
1360 -403.052782172069 403.109933695699
1370 -405.151343145574 406.486704512295
1380 -408.833398147754 408.382633169954
1390 -411.278994755242 410.945074086932
1400 -413.67072509276 413.300076469743
1410 -415.085882334008 418.454933245709
1420 -419.424529066152 418.622654046514
1430 -421.941550796992 423.877358316847
1440 -422.806509750769 425.123744271034
1450 -426.70168185377 427.001828568429
1460 -430.231622997985 428.46677403935
1470 -433.162217549818 431.22203799699
1480 -437.884306107256 435.608284309614
1490 -439.265009092303 440.568649867598
1500 -441.781153479113 441.574249898116
1510 -442.992759774094 444.682934404483
1520 -445.759954522485 445.607654963895
1530 -449.576039084898 447.675698479557
1540 -451.138760295163 451.526107521438
1550 -454.430819267125 454.712974704202
1560 -456.110124400751 457.236388058792
1570 -458.985834966644 460.917748008755
1580 -465.07602016786 462.996827953923
1590 -467.652630079205 465.341843358937
1600 -468.215079189332 469.487447823931
1610 -469.841682233547 470.62417491042
1620 -475.282749940509 470.956327968619
1630 -478.935267651178 475.634221162271
1640 -482.825599516888 477.965328737636
1650 -485.272777854048 481.291007224325
1660 -486.767283189605 483.909069919556
1670 -489.026909785327 489.819091693352
1680 -493.385739969406 492.674759716169
1690 -496.252080589188 496.175108175118
1700 -499.504189543229 498.864421914605
1710 -504.406016971171 503.616843732606
1720 -507.82221692194 506.175421829254
1730 -509.543030853319 508.968494883896
1740 -512.526763950593 509.950883985117
1750 -516.227864856669 513.909145355971
1760 -519.921136410603 517.711294814076
1770 -523.292037225025 522.945491709359
1780 -528.473838208651 524.798083367874
1790 -528.65222676411 531.049229104263
1800 -534.81736476861 530.709070542801
1810 -538.512833845425 536.18819297776
1820 -539.757029900057 538.743101931362
1830 -544.513736311858 540.923607661766
1840 -549.149534401598 545.338535308241
1850 -551.518038956273 550.660169189551
1860 -552.990500133448 555.034029814622
1870 -558.664163482007 556.415896036174
1880 -562.201168845742 559.69473042802
1890 -562.956787502723 561.7628222429
1900 -567.024369989586 565.756270065552
1910 -569.147849966889 568.312916533131
1920 -573.486672832895 571.586419361882
1930 -574.896385007231 571.988980570707
1940 -575.902181691125 573.965515578346
1950 -580.909356647668 577.234848693882
1960 -583.431859206972 582.596889690491
1970 -586.222497883939 587.208438467846
1980 -588.497788041391 588.123176540602
1990 -592.734516938962 588.600722299219
2000 -593.321934727955 589.986368397531
