# Chunk-averaged data for fix fp and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_tatom
400000 40 2584
2400000 40 2584
  1 0.0125 0 0
  2 0.0375 0 0
  3 0.0625 0 0
  4 0.0875 0 0
  5 0.1125 105.298 320.699
  6 0.1375 37.5975 320.272
  7 0.1625 129.1 319.883
  8 0.1875 67.578 320.272
  9 0.2125 68.4265 320.532
  10 0.2375 105.181 318.7
  11 0.2625 40.026 318.266
  12 0.2875 126.758 316.903
  13 0.3125 67.0045 315.946
  14 0.3375 69.0315 305.442
  15 0.3625 103.422 302.891
  16 0.3875 41.0715 302.278
  17 0.4125 127.469 303.028
  18 0.4375 67.145 301.336
  19 0.4625 68.891 300.932
  20 0.4875 104.843 300.826
  21 0.5125 40.693 298.258
  22 0.5375 126.433 299.847
  23 0.5625 67.177 299.956
  24 0.5875 68.8545 299.079
  25 0.6125 104.624 296.941
  26 0.6375 40.186 294.682
  27 0.6625 127.172 290.572
  28 0.6875 67.378 285.943
  29 0.7125 68.6385 283.132
  30 0.7375 105.223 280.872
  31 0.7625 38.305 280.805
  32 0.7875 128.471 280.474
  33 0.8125 67.7985 279.715
  34 0.8375 68.202 279.14
  35 0.8625 120.176 279.874
  36 0.8875 15.824 279.989
  37 0.9125 0 0
  38 0.9375 0 0
  39 0.9625 0 0
  40 0.9875 0 0
2800000 40 2583.9999999999995
  1 0.0125 0 0
  2 0.0375 0 0
  3 0.0625 0 0
  4 0.0875 0 0
  5 0.1125 105.835 319.447
  6 0.1375 36.9455 318.79
  7 0.1625 129.218 319.497
  8 0.1875 67.6295 319.378
  9 0.2125 68.373 319.2
  10 0.2375 106.349 319.077
  11 0.2625 39.4115 319.294
  12 0.2875 126.219 318.694
  13 0.3125 67.154 316.533
  14 0.3375 68.866 310.363
  15 0.3625 103.355 306.308
  16 0.3875 41.2795 301.387
  17 0.4125 127.345 302.715
  18 0.4375 67.301 300.507
  19 0.4625 68.7195 301.064
  20 0.4875 106.064 298.484
  21 0.5125 39.9815 298.592
  22 0.5375 125.933 297.814
  23 0.5625 67.1385 298.996
  24 0.5875 68.883 296.777
  25 0.6125 104.989 296.669
  26 0.6375 40.1235 294.849
  27 0.6625 126.876 291.07
  28 0.6875 67.408 284.413
  29 0.7125 68.604 281.901
  30 0.7375 104.031 282.097
  31 0.7625 39.1195 280.815
  32 0.7875 128.849 280.257
  33 0.8125 67.8455 278.995
  34 0.8375 68.1555 280.629
  35 0.8625 120.367 280.442
  36 0.8875 15.633 278.697
  37 0.9125 0 0
  38 0.9375 0 0
  39 0.9625 0 0
  40 0.9875 0 0
3200000 40 2584.0000000000005
  1 0.0125 0 0
  2 0.0375 0 0
  3 0.0625 0 0
  4 0.0875 0 0
  5 0.1125 108.165 320.343
  6 0.1375 35.7455 321.037
  7 0.1625 128.085 319.179
  8 0.1875 67.587 320.887
  9 0.2125 68.417 319.479
  10 0.2375 105.075 319.49
  11 0.2625 40.1555 317.267
  12 0.2875 126.745 317.835
  13 0.3125 67.3115 314.17
  14 0.3375 68.7125 308.393
  15 0.3625 104.263 303.666
  16 0.3875 40.75 301.623
  17 0.4125 126.972 300.794
  18 0.4375 67.3015 298.838
  19 0.4625 68.7135 300.223
  20 0.4875 106.879 298.579
  21 0.5125 39.708 298.167
  22 0.5375 125.384 297.261
  23 0.5625 67.2275 296.849
  24 0.5875 68.802 295.477
  25 0.6125 104.684 295.639
  26 0.6375 40.095 293.8
  27 0.6625 127.212 291.754
  28 0.6875 67.539 284.001
  29 0.7125 68.47 282.22
  30 0.7375 106.49 280.057
  31 0.7625 37.478 279.132
  32 0.7875 128.032 279.609
  33 0.8125 67.824 279.713
  34 0.8375 68.1765 279.761
  35 0.8625 120.23 279.578
  36 0.8875 15.7705 279.792
  37 0.9125 0 0
  38 0.9375 0 0
  39 0.9625 0 0
  40 0.9875 0 0
