timestep,chunk,coord,ncount,temperature
2000000,16,0.3875,41.0305,300.02
2000000,17,0.4125,127.46,301.245
2000000,18,0.4375,67.2975,300.682
2000000,19,0.4625,68.7195,299.913
2000000,20,0.4875,105.98,300.891
2000000,21,0.5125,39.963,299.319
2000000,22,0.5375,126.03,297.366
2000000,23,0.5625,67.221,297.533
2000000,24,0.5875,68.806,296.903
2000000,25,0.6125,104.603,296.387
2000000,26,0.6375,40.14,294.423
2000000,27,0.6625,127.249,291.428
2000000,28,0.6875,67.453,285.3
2000000,29,0.7125,68.555,281.967
2000000,30,0.7375,104.474,281.11
2000000,31,0.7625,38.9115,281.87
2000000,32,0.7875,128.614,280.062
2000000,33,0.8125,67.8175,279.725
2000000,34,0.8375,68.183,279.876
2000000,35,0.8625,120.386,280.082
2000000,36,0.8875,15.6135,278.496
2000000,37,0.9125,0.0,
2000000,38,0.9375,0.0,
2000000,39,0.9625,0.0,
2000000,40,0.9875,0.0,
2400000,1,0.0125,0.0,
2400000,2,0.0375,0.0,
2400000,3,0.0625,0.0,
2400000,4,0.0875,0.0,
2400000,5,0.1125,105.298,320.699
2400000,6,0.1375,37.5975,320.272
2400000,7,0.1625,129.1,319.883
2400000,8,0.1875,67.578,320.272
2400000,9,0.2125,68.4265,320.532
2400000,10,0.2375,105.181,318.7
2400000,11,0.2625,40.026,318.266
2400000,12,0.2875,126.758,316.903
2400000,13,0.3125,67.0045,315.946
2400000,14,0.3375,69.0315,305.442
2400000,15,0.3625,103.422,302.891
2400000,16,0.3875,41.0715,302.278
2400000,17,0.4125,127.469,303.028
2400000,18,0.4375,67.145,301.336
2400000,19,0.4625,68.891,300.932
2400000,20,0.4875,104.843,300.826
2400000,21,0.5125,40.693,298.258
2400000,22,0.5375,126.433,299.847
2400000,23,0.5625,67.177,299.956
2400000,24,0.5875,68.8545,299.079
2400000,25,0.6125,104.624,296.941
2400000,26,0.6375,40.186,294.682
2400000,27,0.6625,127.172,290.572
2400000,28,0.6875,67.378,285.943
2400000,29,0.7125,68.6385,283.132
2400000,30,0.7375,105.223,280.872
2400000,31,0.7625,38.305,280.805
2400000,32,0.7875,128.471,280.474
2400000,33,0.8125,67.7985,279.715
2400000,34,0.8375,68.202,279.14
2400000,35,0.8625,120.176,279.874
2400000,36,0.8875,15.824,279.989
2400000,37,0.9125,0.0,
2400000,38,0.9375,0.0,
2400000,39,0.9625,0.0,
2400000,40,0.9875,0.0,
2800000,1,0.0125,0.0,
2800000,2,0.0375,0.0,
2800000,3,0.0625,0.0,
2800000,4,0.0875,0.0,
2800000,5,0.1125,105.835,319.447
2800000,6,0.1375,36.9455,318.79
2800000,7,0.1625,129.218,319.497
2800000,8,0.1875,67.6295,319.378
2800000,9,0.2125,68.373,319.2
2800000,10,0.2375,106.349,319.077
2800000,11,0.2625,39.4115,319.294
2800000,12,0.2875,126.219,318.694
2800000,13,0.3125,67.154,316.533
2800000,14,0.3375,68.866,310.363
2800000,15,0.3625,103.355,306.308
2800000,16,0.3875,41.2795,301.387
2800000,17,0.4125,127.345,302.715
2800000,18,0.4375,67.301,300.507
2800000,19,0.4625,68.7195,301.064
2800000,20,0.4875,106.064,298.484
2800000,21,0.5125,39.9815,298.592
2800000,22,0.5375,125.933,297.814
2800000,23,0.5625,67.1385,298.996
2800000,24,0.5875,68.883,296.777
2800000,25,0.6125,104.989,296.669
2800000,26,0.6375,40.1235,294.849
2800000,27,0.6625,126.876,291.07
2800000,28,0.6875,67.408,284.413
2800000,29,0.7125,68.604,281.901
2800000,30,0.7375,104.031,282.097
2800000,31,0.7625,39.1195,280.815
2800000,32,0.7875,128.849,280.257
2800000,33,0.8125,67.8455,278.995
2800000,34,0.8375,68.1555,280.629
2800000,35,0.8625,120.367,280.442
2800000,36,0.8875,15.633,278.697
2800000,37,0.9125,0.0,
2800000,38,0.9375,0.0,
2800000,39,0.9625,0.0,
2800000,40,0.9875,0.0,
3200000,1,0.0125,0.0,
3200000,2,0.0375,0.0,
3200000,3,0.0625,0.0,
3200000,4,0.0875,0.0,
3200000,5,0.1125,108.165,320.343
3200000,6,0.1375,35.7455,321.037
3200000,7,0.1625,128.085,319.179
3200000,8,0.1875,67.587,320.887
3200000,9,0.2125,68.417,319.479
3200000,10,0.2375,105.075,319.49
3200000,11,0.2625,40.1555,317.267
3200000,12,0.2875,126.745,317.835
3200000,13,0.3125,67.3115,314.17
3200000,14,0.3375,68.7125,308.393
3200000,15,0.3625,104.263,303.666
3200000,16,0.3875,40.75,301.623
3200000,17,0.4125,126.972,300.794
3200000,18,0.4375,67.3015,298.838
3200000,19,0.4625,68.7135,300.223
3200000,20,0.4875,106.879,298.579
3200000,21,0.5125,39.708,298.167
3200000,22,0.5375,125.384,297.261
3200000,23,0.5625,67.2275,296.849
3200000,24,0.5875,68.802,295.477
3200000,25,0.6125,104.684,295.639
3200000,26,0.6375,40.095,293.8
3200000,27,0.6625,127.212,291.754
3200000,28,0.6875,67.539,284.001
3200000,29,0.7125,68.47,282.22
3200000,30,0.7375,106.49,280.057
3200000,31,0.7625,37.478,279.132
3200000,32,0.7875,128.032,279.609
3200000,33,0.8125,67.824,279.713
3200000,34,0.8375,68.1765,279.761
3200000,35,0.8625,120.23,279.578
3200000,36,0.8875,15.7705,279.792
3200000,37,0.9125,0.0,
3200000,38,0.9375,0.0,
3200000,39,0.9625,0.0,
3200000,40,0.9875,0.0,
