timestep,chunk,coord,ncount,temperature
400000,1,0.0125,0.0,
400000,2,0.0375,0.0,
400000,3,0.0625,0.0,
400000,4,0.0875,0.0,
400000,5,0.1125,106.3,319.536
400000,6,0.1375,37.205,320.901
400000,7,0.1625,128.488,319.851
400000,8,0.1875,67.6025,320.102
400000,9,0.2125,68.4035,319.081
400000,10,0.2375,105.594,319.772
400000,11,0.2625,39.974,318.217
400000,12,0.2875,126.403,317.921
400000,13,0.3125,67.1855,315.641
400000,14,0.3375,68.843,308.798
400000,15,0.3625,104.022,303.738
400000,16,0.3875,41.1225,301.596
400000,17,0.4125,126.838,300.319
400000,18,0.4375,67.253,300.634
400000,19,0.4625,68.7635,300.379
400000,20,0.4875,105.889,299.688
400000,21,0.5125,40.253,298.497
400000,22,0.5375,125.835,298.161
400000,23,0.5625,67.265,296.933
400000,24,0.5875,68.758,296.116
400000,25,0.6125,104.99,294.641
400000,26,0.6375,40.167,294.52
400000,27,0.6625,126.831,291.458
400000,28,0.6875,67.4205,283.838
400000,29,0.7125,68.5925,282.771
400000,30,0.7375,105.555,281.415
400000,31,0.7625,38.3235,281.773
400000,32,0.7875,128.121,280.995
400000,33,0.8125,67.806,279.714
400000,34,0.8375,68.1945,280.304
400000,35,0.8625,119.898,279.515
400000,36,0.8875,16.1015,279.412
400000,37,0.9125,0.0,
400000,38,0.9375,0.0,
400000,39,0.9625,0.0,
400000,40,0.9875,0.0,
800000,1,0.0125,0.0,
800000,2,0.0375,0.0,
800000,3,0.0625,0.0,
800000,4,0.0875,0.0,
800000,5,0.1125,107.328,318.568
800000,6,0.1375,36.3265,318.643
800000,7,0.1625,128.34,320.076
800000,8,0.1875,67.5555,320.271
800000,9,0.2125,68.45,319.649
800000,10,0.2375,104.55,320.588
800000,11,0.2625,40.409,321.058
800000,12,0.2875,127.013,318.421
800000,13,0.3125,67.1445,317.057
800000,14,0.3375,68.884,311.382
800000,15,0.3625,103.893,306.743
800000,16,0.3875,41.3255,303.627
800000,17,0.4125,126.754,304.096
800000,18,0.4375,67.2115,301.102
800000,19,0.4625,68.815,300.409
800000,20,0.4875,106.308,299.599
800000,21,0.5125,40.199,298.283
800000,22,0.5375,125.466,298.728
800000,23,0.5625,67.196,298.759
800000,24,0.5875,68.8305,297.898
800000,25,0.6125,104.415,296.946
800000,26,0.6375,40.5795,294.831
800000,27,0.6625,126.995,291.415
800000,28,0.6875,67.4605,283.662
800000,29,0.7125,68.5495,280.839
800000,30,0.7375,105.774,281.479
800000,31,0.7625,38.417,279.793
800000,32,0.7875,127.808,280.168
800000,33,0.8125,67.818,279.68
800000,34,0.8375,68.1825,279.167
800000,35,0.8625,119.856,279.731
800000,36,0.8875,16.1435,279.464
800000,37,0.9125,0.0,
800000,38,0.9375,0.0,
800000,39,0.9625,0.0,
800000,40,0.9875,0.0,
1200000,1,0.0125,0.0,
1200000,2,0.0375,0.0,
1200000,3,0.0625,0.0,
1200000,4,0.0875,0.0,
1200000,5,0.1125,106.132,320.576
1200000,6,0.1375,36.994,320.328
1200000,7,0.1625,128.869,319.368
1200000,8,0.1875,67.578,319.315
1200000,9,0.2125,68.426,319.422
1200000,10,0.2375,104.665,319.946
1200000,11,0.2625,40.1935,320.541
1200000,12,0.2875,127.114,317.935
1200000,13,0.3125,67.1545,316.5
1200000,14,0.3375,68.8735,309.154
1200000,15,0.3625,103.028,303.928
1200000,16,0.3875,41.4705,303.247
1200000,17,0.4125,127.477,302.171
1200000,18,0.4375,67.2155,300.502
1200000,19,0.4625,68.8095,299.04
1200000,20,0.4875,105.454,298.799
1200000,21,0.5125,40.496,299.605
1200000,22,0.5375,126.019,296.516
1200000,23,0.5625,67.134,295.376
1200000,24,0.5875,68.8975,295.817
1200000,25,0.6125,104.346,294.274
1200000,26,0.6375,40.2965,293.457
1200000,27,0.6625,127.346,291.092
1200000,28,0.6875,67.4405,285.409
1200000,29,0.7125,68.5715,281.198
1200000,30,0.7375,104.694,281.663
1200000,31,0.7625,38.7545,280.826
1200000,32,0.7875,128.549,280.407
1200000,33,0.8125,67.8215,279.455
1200000,34,0.8375,68.1805,278.976
1200000,35,0.8625,120.117,279.729
1200000,36,0.8875,15.8835,276.705
1200000,37,0.9125,0.0,
1200000,38,0.9375,0.0,
1200000,39,0.9625,0.0,
1200000,40,0.9875,0.0,
1600000,1,0.0125,0.0,
1600000,2,0.0375,0.0,
1600000,3,0.0625,0.0,
1600000,4,0.0875,0.0,
1600000,5,0.1125,107.256,320.919
1600000,6,0.1375,36.4365,319.397
1600000,7,0.1625,128.304,319.612
1600000,8,0.1875,67.4955,320.635
1600000,9,0.2125,68.5085,320.408
1600000,10,0.2375,104.216,318.656
1600000,11,0.2625,40.4835,318.759
1600000,12,0.2875,127.284,316.988
1600000,13,0.3125,67.2455,315.492
1600000,14,0.3375,68.771,305.6
1600000,15,0.3625,104.139,304.224
1600000,16,0.3875,40.944,300.765
1600000,17,0.4125,126.897,300.842
1600000,18,0.4375,67.3305,298.949
1600000,19,0.4625,68.6895,299.053
1600000,20,0.4875,106.341,299.085
1600000,21,0.5125,40.1645,298.425
1600000,22,0.5375,125.463,298.024
1600000,23,0.5625,67.092,297.411
1600000,24,0.5875,68.94,297.447
1600000,25,0.6125,104.171,295.734
1600000,26,0.6375,40.409,292.734
