Wurtzite ZnO (type1=Zn q=+2, type2=O q=-2)

2880 atoms
2 atom types

0.0 12.998000 xlo xhi
0.0 16.884897 ylo yhi
0.0 156.207000 zlo zhi

Masses

1 65.38
2 15.9994

Atoms # charge

126 2 -2.0000 1.624750 2.814150 80.092536
127 2 -2.0000 1.624750 0.938050 82.695986
128 2 -2.0000 0.000000 3.752199 82.695986
129 1 2.0000 0.000000 0.000000 83.310400
130 1 2.0000 1.624750 2.814150 83.310400
131 1 2.0000 1.624750 0.938050 85.913850
132 1 2.0000 0.000000 3.752199 85.913850
133 2 -2.0000 0.000000 0.000000 85.299436
134 2 -2.0000 1.624750 2.814150 85.299436
135 2 -2.0000 1.624750 0.938050 87.902886
136 2 -2.0000 0.000000 3.752199 87.902886
137 1 2.0000 0.000000 0.000000 88.517300
138 1 2.0000 1.624750 2.814150 88.517300
139 1 2.0000 1.624750 0.938050 91.120750
140 1 2.0000 0.000000 3.752199 91.120750
141 2 -2.0000 0.000000 0.000000 90.506336
142 2 -2.0000 1.624750 2.814150 90.506336
143 2 -2.0000 1.624750 0.938050 93.109786
144 2 -2.0000 0.000000 3.752199 93.109786
145 1 2.0000 0.000000 0.000000 93.724200
146 1 2.0000 1.624750 2.814150 93.724200
147 1 2.0000 1.624750 0.938050 96.327650
148 1 2.0000 0.000000 3.752199 96.327650
149 2 -2.0000 0.000000 0.000000 95.713236
150 2 -2.0000 1.624750 2.814150 95.713236
151 2 -2.0000 1.624750 0.938050 98.316686
152 2 -2.0000 0.000000 3.752199 98.316686
153 1 2.0000 0.000000 0.000000 98.931100
154 1 2.0000 1.624750 2.814150 98.931100
155 1 2.0000 1.624750 0.938050 101.534550
156 1 2.0000 0.000000 3.752199 101.534550
157 2 -2.0000 0.000000 0.000000 100.920136
158 2 -2.0000 1.624750 2.814150 100.920136
159 2 -2.0000 1.624750 0.938050 103.523586
160 2 -2.0000 0.000000 3.752199 103.523586
161 1 2.0000 0.000000 0.000000 104.138000
162 1 2.0000 1.624750 2.814150 104.138000
163 1 2.0000 1.624750 0.938050 106.741450
164 1 2.0000 0.000000 3.752199 106.741450
165 2 -2.0000 0.000000 0.000000 106.127036
166 2 -2.0000 1.624750 2.814150 106.127036
167 2 -2.0000 1.624750 0.938050 108.730486
168 2 -2.0000 0.000000 3.752199 108.730486
169 1 2.0000 0.000000 0.000000 109.344900
170 1 2.0000 1.624750 2.814150 109.344900
171 1 2.0000 1.624750 0.938050 111.948350
172 1 2.0000 0.000000 3.752199 111.948350
173 2 -2.0000 0.000000 0.000000 111.333936
174 2 -2.0000 1.624750 2.814150 111.333936
175 2 -2.0000 1.624750 0.938050 113.937386
176 2 -2.0000 0.000000 3.752199 113.937386
177 1 2.0000 0.000000 0.000000 114.551800
178 1 2.0000 1.624750 2.814150 114.551800
179 1 2.0000 1.624750 0.938050 117.155250
180 1 2.0000 0.000000 3.752199 117.155250
181 2 -2.0000 0.000000 0.000000 116.540836
182 2 -2.0000 1.624750 2.814150 116.540836
183 2 -2.0000 1.624750 0.938050 119.144286
184 2 -2.0000 0.000000 3.752199 119.144286
185 1 2.0000 0.000000 0.000000 119.758700
186 1 2.0000 1.624750 2.814150 119.758700
187 1 2.0000 1.624750 0.938050 122.362150
188 1 2.0000 0.000000 3.752199 122.362150
189 2 -2.0000 0.000000 0.000000 121.747736
190 2 -2.0000 1.624750 2.814150 121.747736
191 2 -2.0000 1.624750 0.938050 124.351186
192 2 -2.0000 0.000000 3.752199 124.351186
193 1 2.0000 0.000000 0.000000 124.965600
194 1 2.0000 1.624750 2.814150 124.965600
195 1 2.0000 1.624750 0.938050 127.569050
196 1 2.0000 0.000000 3.752199 127.569050
197 2 -2.0000 0.000000 0.000000 126.954636
198 2 -2.0000 1.624750 2.814150 126.954636
199 2 -2.0000 1.624750 0.938050 129.558086
200 2 -2.0000 0.000000 3.752199 129.558086
201 1 2.0000 0.000000 0.000000 130.172500
202 1 2.0000 1.624750 2.814150 130.172500
203 1 2.0000 1.624750 0.938050 132.775950
204 1 2.0000 0.000000 3.752199 132.775950
205 2 -2.0000 0.000000 0.000000 132.161536
206 2 -2.0000 1.624750 2.814150 132.161536
207 2 -2.0000 1.624750 0.938050 134.764986
208 2 -2.0000 0.000000 3.752199 134.764986
209 1 2.0000 0.000000 0.000000 135.379400
210 1 2.0000 1.624750 2.814150 135.379400
211 1 2.0000 1.624750 0.938050 137.982850
212 1 2.0000 0.000000 3.752199 137.982850
213 2 -2.0000 0.000000 0.000000 137.368436
214 2 -2.0000 1.624750 2.814150 137.368436
215 2 -2.0000 1.624750 0.938050 139.971886
216 2 -2.0000 0.000000 3.752199 139.971886
217 1 2.0000 0.000000 0.000000 140.586300
218 1 2.0000 1.624750 2.814150 140.586300
219 1 2.0000 1.624750 0.938050 143.189750
220 1 2.0000 0.000000 3.752199 143.189750
221 2 -2.0000 0.000000 0.000000 142.575336
222 2 -2.0000 1.624750 2.814150 142.575336
223 2 -2.0000 1.624750 0.938050 145.178786
224 2 -2.0000 0.000000 3.752199 145.178786
225 1 2.0000 0.000000 0.000000 145.793200
226 1 2.0000 1.624750 2.814150 145.793200
227 1 2.0000 1.624750 0.938050 148.396650
228 1 2.0000 0.000000 3.752199 148.396650
229 2 -2.0000 0.000000 0.000000 147.782236
230 2 -2.0000 1.624750 2.814150 147.782236
231 2 -2.0000 1.624750 0.938050 150.385686
232 2 -2.0000 0.000000 3.752199 150.385686
233 1 2.0000 0.000000 0.000000 151.000100
234 1 2.0000 1.624750 2.814150 151.000100
235 1 2.0000 1.624750 0.938050 153.603550
236 1 2.0000 0.000000 3.752199 153.603550
237 2 -2.0000 0.000000 0.000000 152.989136
238 2 -2.0000 1.624750 2.814150 152.989136
239 2 -2.0000 1.624750 0.938050 155.592586
240 2 -2.0000 0.000000 3.752199 155.592586
241 1 2.0000 0.000000 5.628299 0.000000
242 1 2.0000 1.624750 8.442449 0.000000
243 1 2.0000 1.624750 6.566349 2.603450
244 1 2.0000 0.000000 9.380498 2.603450
245 2 -2.0000 0.000000 5.628299 1.989036
246 2 -2.0000 1.624750 8.442449 1.989036
247 2 -2.0000 1.624750 6.566349 4.592486
248 2 -2.0000 0.000000 9.380498 4.592486
249 1 2.0000 0.000000 5.628299 5.206900
250 1 2.0000 1.624750 8.442449 5.206900
251 1 2.0000 1.624750 6.566349 7.810350
252 1 2.0000 0.000000 9.380498 7.810350
253 2 -2.0000 0.000000 5.628299 7.195936
254 2 -2.0000 1.624750 8.442449 7.195936
255 2 -2.0000 1.624750 6.566349 9.799386
