# Chunk-averaged data for fix fp and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_tatom
400000 40 1952.0000000000002
  1 0.0125 0 0
  2 0.0375 32 320.468
  3 0.0625 52.78 320.147
  4 0.0875 45.1085 320.765
  5 0.1125 62.1115 315.363
  6 0.1375 49.3415 305.479
  7 0.1625 47.4555 304.106
  8 0.1875 63.184 307.77
  9 0.2125 48.3435 305.464
  10 0.2375 47.9165 309.645
  11 0.2625 63.564 309.135
  12 0.2875 47.6945 306.96
  13 0.3125 48.534 303.506
  14 0.3375 62.6695 303.224
  15 0.3625 47.2325 303.479
  16 0.3875 50.071 304.585
  17 0.4125 60.504 301.462
  18 0.4375 45.79 300.679
  19 0.4625 53.6995 301.32
  20 0.4875 56.082 299.845
  21 0.5125 46.782 297.703
  22 0.5375 57.136 296.247
  23 0.5625 52.6835 296.787
  24 0.5875 46.1885 296.013
  25 0.6125 61.1275 295.679
  26 0.6375 49.589 292.644
  27 0.6625 47.4935 292.84
  28 0.6875 62.888 293.522
  29 0.7125 48.343 291.679
  30 0.7375 47.837 293.264
  31 0.7625 63.6065 292.242
  32 0.7875 47.8515 289.708
  33 0.8125 48.4075 289.828
  34 0.8375 63.14 288.192
  35 0.8625 47.532 290.387
  36 0.8875 49.3125 281.487
  37 0.9125 62.302 278.659
  38 0.9375 44.9625 280.465
  39 0.9625 20.7355 280.199
  40 0.9875 0 0
800000 40 1952.0000000000002
  1 0.0125 0 0
  2 0.0375 32 319.393
  3 0.0625 52.1775 319.082
  4 0.0875 45.363 318.9
  5 0.1125 62.4595 316.374
  6 0.1375 49.0885 309.491
  7 0.1625 47.5135 306.826
  8 0.1875 63.384 306.968
  9 0.2125 48.2055 305.592
  10 0.2375 47.94 304.321
  11 0.2625 63.6395 305.024
  12 0.2875 47.7 305.337
  13 0.3125 48.5525 305.12
  14 0.3375 62.665 301.92
  15 0.3625 47.2715 298.626
  16 0.3875 50.042 297.395
  17 0.4125 60.4335 298.24
  18 0.4375 46.167 298.767
  19 0.4625 53.398 299.205
  20 0.4875 56.5195 294.387
  21 0.5125 46.335 294.136
  22 0.5375 57.145 294.097
  23 0.5625 52.6545 292.519
  24 0.5875 46.4455 291.854
  25 0.6125 60.8935 291.002
  26 0.6375 49.6735 290.502
  27 0.6625 47.372 290.351
  28 0.6875 62.9405 291.653
  29 0.7125 48.4265 290.982
  30 0.7375 47.7775 291.631
  31 0.7625 63.604 291.936
  32 0.7875 47.9865 291.726
  33 0.8125 48.239 291.602
  34 0.8375 63.363 291.655
  35 0.8625 47.4505 290.013
  36 0.8875 49.1735 281.303
  37 0.9125 62.17 278.857
  38 0.9375 46.551 279.729
  39 0.9625 19.279 277.8
  40 0.9875 0 0
1200000 40 1952.0000000000002
  1 0.0125 0 0
  2 0.0375 32 318.921
  3 0.0625 51.4875 321.1
  4 0.0875 46.747 320.464
  5 0.1125 61.7645 316.905
  6 0.1375 49.316 310.244
  7 0.1625 47.251 309.659
  8 0.1875 63.3735 309.099
  9 0.2125 48.149 309.425
  10 0.2375 48.056 308.406
  11 0.2625 63.352 308.287
  12 0.2875 47.6595 304.984
  13 0.3125 48.8665 306.238
  14 0.3375 62.225 304.969
  15 0.3625 47.252 303.932
  16 0.3875 50.5035 302.579
  17 0.4125 60.0255 301.996
  18 0.4375 46.4705 303.966
  19 0.4625 53.5015 301.943
  20 0.4875 56.502 302.929
  21 0.5125 46.463 301.312
  22 0.5375 57.0345 301.11
  23 0.5625 52.998 298.242
  24 0.5875 46.6095 297.043
  25 0.6125 60.3895 298.301
  26 0.6375 50.241 296.907
  27 0.6625 47.1545 294.333
  28 0.6875 62.5815 295.617
  29 0.7125 48.6315 297.582
  30 0.7375 47.688 295.863
  31 0.7625 63.5055 295.422
  32 0.7875 47.8845 294.123
  33 0.8125 48.334 295.501
  34 0.8375 63.2245 293.921
  35 0.8625 47.551 293.716
  36 0.8875 49.208 284.94
  37 0.9125 62.515 281.671
  38 0.9375 45.273 280.141
  39 0.9625 20.211 279.977
  40 0.9875 0 0
1600000 40 1952.0000000000005
  1 0.0125 0 0
  2 0.0375 32 317.84
  3 0.0625 53.165 321.517
  4 0.0875 44.954 320.511
  5 0.1125 61.8805 318.153
  6 0.1375 49.478 310.607
  7 0.1625 47.461 311.109
  8 0.1875 63.033 312.487
  9 0.2125 48.418 310.163
  10 0.2375 47.9125 307.251
  11 0.2625 63.3635 306.553
  12 0.2875 47.7865 306.359
  13 0.3125 48.5845 305.869
  14 0.3375 62.337 302.868
  15 0.3625 47.2505 302.047
  16 0.3875 50.399 304.227
  17 0.4125 60.271 303.979
  18 0.4375 46.063 300.934
  19 0.4625 53.6435 301.415
  20 0.4875 56.4095 300.391
  21 0.5125 46.755 298.093
  22 0.5375 56.835 298.89
  23 0.5625 53.147 299.499
  24 0.5875 46.2205 297.676
  25 0.6125 60.6285 298.123
  26 0.6375 49.885 295.86
  27 0.6625 47.5625 295.183
  28 0.6875 62.519 294.305
  29 0.7125 48.472 295.282
  30 0.7375 47.8105 292.722
  31 0.7625 63.5395 291.845
  32 0.7875 47.9065 294.05
  33 0.8125 48.323 292.151
  34 0.8375 63.183 289.046
  35 0.8625 47.467 289.065
  36 0.8875 49.336 282.539
  37 0.9125 62.4025 280.204
  38 0.9375 45.132 281.197
  39 0.9625 20.4655 277.61
  40 0.9875 0 0
2000000 40 1952
  1 0.0125 0 0
  2 0.0375 32 320.817
  3 0.0625 52.03 319.854
  4 0.0875 45.926 321.285
  5 0.1125 62.0435 315.361
  6 0.1375 49.4045 305.998
  7 0.1625 47.3265 305.3
  8 0.1875 63.245 303.217
  9 0.2125 48.247 304.746
  10 0.2375 47.978 303.106
  11 0.2625 63.5035 299.58
  12 0.2875 47.7485 301.139
  13 0.3125 48.5915 301.176
  14 0.3375 62.387 299.982
  15 0.3625 47.5475 300.932
  16 0.3875 50.025 298.21
  17 0.4125 60.307 299.728
  18 0.4375 45.8735 297.118
  19 0.4625 53.816 297.266
  20 0.4875 56.2615 295.301
  21 0.5125 46.6365 295.26
  22 0.5375 57.102 295.265
  23 0.5625 52.697 297.825
  24 0.5875 46.3895 296.138
  25 0.6125 60.907 296.14
  26 0.6375 49.84 295.322
  27 0.6625 47.258 295.202
  28 0.6875 62.8805 291.735
  29 0.7125 48.316 290.314
  30 0.7375 47.9135 290.721
  31 0.7625 63.5335 291.997
  32 0.7875 47.7955 293.688
  33 0.8125 48.482 294.189
  34 0.8375 62.961 290.006
  35 0.8625 47.7405 290.182
  36 0.8875 49.286 283.417
  37 0.9125 62.593 279.903
  38 0.9375 44.9685 279.385
  39 0.9625 20.4385 281.976
  40 0.9875 0 0
2400000 40 1952
  1 0.0125 0 0
  2 0.0375 32 319.855
  3 0.0625 51.651 320.871
  4 0.0875 46.5575 320.236
  5 0.1125 61.79 316.993
  6 0.1375 49.3205 307.87
  7 0.1625 47.422 303.065
  8 0.1875 63.222 302.793
  9 0.2125 48.3885 301.794
  10 0.2375 47.818 301.801
  11 0.2625 63.4955 299.911
  12 0.2875 47.769 299.237
  13 0.3125 48.617 298.941
  14 0.3375 62.517 298.27
  15 0.3625 47.057 297.539
  16 0.3875 50.383 296.718
  17 0.4125 60.178 297.535
  18 0.4375 46.4885 298.769
  19 0.4625 53.3255 293.968
  20 0.4875 56.6425 295.309
  21 0.5125 46.576 294.151
  22 0.5375 56.7815 297.036
  23 0.5625 53.019 296.174
  24 0.5875 46.3155 297.346
  25 0.6125 60.6615 293.432
  26 0.6375 49.771 296.386
