# Chunk-averaged data for fix fp and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_tatom
400000 40 3096
  31 0.7625 84.285 297.186
  32 0.7875 72.0355 294.756
  33 0.8125 95.9425 293.671
  34 0.8375 72.022 294.202
  35 0.8625 83.9185 292.168
  36 0.8875 84.0815 290.708
  37 0.9125 72.0015 289.891
  38 0.9375 95.9985 282.037
  39 0.9625 72 279.799
  40 0.9875 0 0
2400000 40 3096
  1 0.0125 0 0
  2 0.0375 72.0005 318.538
  3 0.0625 95.9945 317.421
  4 0.0875 72.005 306.043
  5 0.1125 83.5315 303.375
  6 0.1375 84.4685 303.137
  7 0.1625 72.0235 302.194
  8 0.1875 95.9595 300.415
  9 0.2125 72.017 301.448
  10 0.2375 83.444 301.182
  11 0.2625 84.556 299.595
  12 0.2875 72.025 299.838
  13 0.3125 95.946 299.886
  14 0.3375 72.029 301.506
  15 0.3625 83.446 299.781
  16 0.3875 84.554 301.848
  17 0.4125 72.044 301.616
  18 0.4375 95.927 299.57
  19 0.4625 72.029 301.51
  20 0.4875 83.792 300.491
  21 0.5125 84.208 299.997
  22 0.5375 72.0365 300.327
  23 0.5625 95.9305 297.008
  24 0.5875 72.033 296.81
  25 0.6125 84.101 296.269
  26 0.6375 83.899 298.086
  27 0.6625 72.0335 299.292
  28 0.6875 95.9445 297.679
  29 0.7125 72.022 295.214
  30 0.7375 84.223 293.645
  31 0.7625 83.777 292.637
  32 0.7875 72.0155 290.608
  33 0.8125 95.976 289.915
  34 0.8375 72.0085 288.102
  35 0.8625 84.1685 290.107
  36 0.8875 83.8315 291.464
  37 0.9125 72.0015 290.534
  38 0.9375 95.9985 281.861
  39 0.9625 72 280.537
  40 0.9875 0 0
2800000 40 3096.0000000000005
  1 0.0125 0 0
  2 0.0375 72.0015 320.844
  3 0.0625 95.9925 317.569
  4 0.0875 72.006 308.171
  5 0.1125 83.57 311.021
  6 0.1375 84.43 309.566
  7 0.1625 72.0335 309.858
  8 0.1875 95.928 308.764
  9 0.2125 72.0385 305.574
  10 0.2375 83.754 305.82
  11 0.2625 84.246 305.02
  12 0.2875 72.079 303.873
  13 0.3125 95.827 304.796
  14 0.3375 72.094 305.378
  15 0.3625 83.847 304.505
  16 0.3875 84.153 304.133
  17 0.4125 72.0875 305.301
  18 0.4375 95.8005 303.865
  19 0.4625 72.112 301.585
  20 0.4875 83.811 302.391
  21 0.5125 84.189 300.771
  22 0.5375 72.1025 300.066
  23 0.5625 95.803 299.156
  24 0.5875 72.0945 300.014
  25 0.6125 84.0125 297.917
  26 0.6375 83.9875 299.709
  27 0.6625 72.101 299.38
  28 0.6875 95.8105 296.771
  29 0.7125 72.0885 295.883
  30 0.7375 84.26 296.968
  31 0.7625 83.74 298.215
  32 0.7875 72.019 296.594
  33 0.8125 95.943 297.29
  34 0.8375 72.038 295.339
  35 0.8625 84.3445 294.937
  36 0.8875 83.6555 292.475
  37 0.9125 72.0045 289.492
  38 0.9375 95.995 282.293
  39 0.9625 72.0005 280.641
  40 0.9875 0 0
3200000 40 3096
  1 0.0125 0 0
  2 0.0375 72.0025 320.018
  3 0.0625 95.99 316.514
  4 0.0875 72.0075 305.612
  5 0.1125 83.158 303.824
  6 0.1375 84.842 303.952
  7 0.1625 72.048 301.896
  8 0.1875 95.906 302.957
  9 0.2125 72.046 300.978
  10 0.2375 83.556 302.362
  11 0.2625 84.444 301.613
  12 0.2875 72.088 300.703
  13 0.3125 95.8295 302.937
  14 0.3375 72.0825 300.991
  15 0.3625 84.1465 298.544
  16 0.3875 83.8535 298.711
  17 0.4125 72.064 299.306
  18 0.4375 95.8615 298.303
  19 0.4625 72.0745 297.275
  20 0.4875 84.009 295.763
  21 0.5125 83.991 296.99
  22 0.5375 72.069 295.396
  23 0.5625 95.863 296.945
  24 0.5875 72.068 297.48
  25 0.6125 83.4315 296.614
  26 0.6375 84.5685 296.796
  27 0.6625 72.068 298.345
  28 0.6875 95.8235 294.04
  29 0.7125 72.1085 293.687
  30 0.7375 83.8785 294.146
  31 0.7625 84.1215 292.651
  32 0.7875 72.051 292.186
  33 0.8125 95.9005 294.465
  34 0.8375 72.0485 295.367
  35 0.8625 84.6355 293.726
  36 0.8875 83.3645 293.912
  37 0.9125 72.0045 290.699
  38 0.9375 95.9945 283.847
  39 0.9625 72.001 279.973
  40 0.9875 0 0
3600000 40 3096
  1 0.0125 0 0
  2 0.0375 72.001 319.445
  3 0.0625 95.99 317.871
  4 0.0875 72.009 308.535
  5 0.1125 82.6125 306.78
  6 0.1375 85.3875 306.348
  7 0.1625 72.0465 305.131
  8 0.1875 95.869 305.159
  9 0.2125 72.0845 302.04
  10 0.2375 83.853 301.977
  11 0.2625 84.147 299.766
  12 0.2875 72.094 301.385
  13 0.3125 95.844 300.434
  14 0.3375 72.062 303.628
  15 0.3625 84.706 301.025
  16 0.3875 83.294 300.344
  17 0.4125 72.0515 301.881
  18 0.4375 95.902 300.942
  19 0.4625 72.0465 300.185
  20 0.4875 83.644 298.288
  21 0.5125 84.356 297.79
  22 0.5375 72.033 297.973
  23 0.5625 95.9125 297.406
  24 0.5875 72.0545 296.84
  25 0.6125 82.5095 296.973
  26 0.6375 85.4905 293.97
  27 0.6625 72.039 294.076
  28 0.6875 95.8435 293.579
  29 0.7125 72.1175 293.309
  30 0.7375 83.3785 294.384
  31 0.7625 84.6215 294.426
  32 0.7875 72.0675 292.724
  33 0.8125 95.878 291.99
  34 0.8375 72.0545 292.001
  35 0.8625 84.736 294.217
  36 0.8875 83.264 291.887
  37 0.9125 72.0085 290.934
  38 0.9375 95.9915 282.999
  39 0.9625 72 280.484
  40 0.9875 0 0
4000000 40 3096
  1 0.0125 0 0
  2 0.0375 72.0005 319.285
  3 0.0625 95.9895 316.805
  4 0.0875 72.01 307.122
  5 0.1125 82.8725 306.858
  6 0.1375 85.1275 307.03
  7 0.1625 72.05 305.689
  8 0.1875 95.8775 305.393
  9 0.2125 72.0725 305.981
  10 0.2375 84.008 307.023
  11 0.2625 83.992 306.018
  12 0.2875 72.1105 305.986
  13 0.3125 95.8335 303.422
  14 0.3375 72.056 303.622
  15 0.3625 84.7695 302.946
  16 0.3875 83.2305 304.294
  17 0.4125 72.048 303.696
