# Chunk-averaged data for fix fp and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_tatom
400000 40 4560
  36 0.8875 132.883 288.839
  37 0.9125 107.038 284.798
  38 0.9375 135.586 280.47
  39 0.9625 104.335 279.281
  40 0.9875 0 0
2400000 40 4559.999999999998
  1 0.0125 0 0
  2 0.0375 132.336 319.437
  3 0.0625 107.738 318.721
  4 0.0875 132.095 315.248
  5 0.1125 108.05 312.367
  6 0.1375 132.229 312.535
  7 0.1625 107.775 309.454
  8 0.1875 131.926 307.713
  9 0.2125 108.172 307.189
  10 0.2375 132.487 306.698
  11 0.2625 107.629 307.412
  12 0.2875 132.119 307.107
  13 0.3125 107.996 307.476
  14 0.3375 132.098 305.45
  15 0.3625 107.793 303.571
  16 0.3875 132.064 304.134
  17 0.4125 108.221 304.909
  18 0.4375 131.641 303.828
  19 0.4625 108.367 300.789
  20 0.4875 131.809 298.227
  21 0.5125 108.13 297.748
  22 0.5375 131.617 298.181
  23 0.5625 108.492 296.728
  24 0.5875 131.868 298.232
  25 0.6125 108.117 297.424
  26 0.6375 131.517 297.444
  27 0.6625 108.397 296.423
  28 0.6875 132.238 296.258
  29 0.7125 107.606 293.075
  30 0.7375 132.358 293.302
  31 0.7625 107.552 295.758
  32 0.7875 132.743 291.707
  33 0.8125 107.189 290.186
  34 0.8375 133.499 292.903
  35 0.8625 106.359 290.871
  36 0.8875 133.627 290.688
  37 0.9125 106.243 288.425
  38 0.9375 134.405 281.397
  39 0.9625 105.498 279.676
  40 0.9875 0 0
2800000 40 4560.000000000001
  1 0.0125 0 0
  2 0.0375 135.289 319.059
  3 0.0625 104.904 318.815
  4 0.0875 132.201 312.592
  5 0.1125 107.741 307.432
  6 0.1375 132.547 305.149
  7 0.1625 107.564 305.639
  8 0.1875 133.544 307.12
  9 0.2125 106.578 307.21
  10 0.2375 132.372 306.431
  11 0.2625 107.442 306.059
  12 0.2875 134.262 304.217
  13 0.3125 105.97 303.179
  14 0.3375 132.891 303.591
  15 0.3625 106.927 303.188
  16 0.3875 134.134 304.339
  17 0.4125 105.885 302.627
  18 0.4375 132.942 304.75
  19 0.4625 107.07 302.727
  20 0.4875 133.577 303.583
  21 0.5125 106.505 302.534
  22 0.5375 132.946 300.072
  23 0.5625 106.917 299.171
  24 0.5875 133.349 300.324
  25 0.6125 106.763 297.337
  26 0.6375 132.957 297.266
  27 0.6625 107.039 297.986
