t_ps E_hot_eV E_cold_eV
0 0 0
10 -25.6679370181519 23.1343262304648
20 -43.6243996970254 43.8862097018089
30 -61.2806717657062 62.6976117120738
40 -80.4113613163798 81.2865032526295
50 -101.765362640084 102.834309548777
60 -117.966673746198 122.855828902188
70 -138.539990298912 139.344668586913
80 -155.963075998965 156.92044590506
90 -172.620921976295 172.511418604141
100 -189.419190029551 188.950145535222
110 -210.371721784801 207.679669498318
120 -219.396404989045 216.172140130349
130 -237.180610332613 237.810026744285
140 -257.848053553084 256.228009558577
150 -273.67098090139 272.644400542965
160 -289.694934454209 289.204925711884
170 -302.490695978689 301.990080033602
180 -321.91004795555 317.639541514059
190 -336.0699218102 336.97441391553
200 -352.94112571731 357.065022119378
210 -373.968834237908 372.871503438576
220 -391.271236434139 390.214016735963
230 -406.591616348126 407.241830843863
240 -421.748118034058 419.081545121239
250 -438.838691525881 436.753197207394
260 -450.999812264601 453.566984722315
270 -475.963037794923 471.762462655533
280 -491.468883498628 492.258091432171
290 -504.947834270029 502.512657172062
300 -524.972943933053 522.480260092561
310 -540.701326539016 540.702183695077
320 -558.749943179765 556.593759730637
330 -574.888578442045 571.254999899177
340 -587.287528211962 586.498272336915
350 -610.385477912314 608.563678866286
360 -627.754923891624 626.230468491646
370 -637.957918399826 642.006884804679
380 -655.949675089529 654.573210438402
390 -671.882990678615 672.451124042712
400 -691.217617909188 692.915911924849
410 -709.037899115367 707.275876024777
420 -727.601023894526 725.739303402285
430 -742.063183454005 743.130988501211
440 -757.119206809125 758.398527143459
450 -774.288861634195 774.158627054867
460 -792.386884244872 794.016778009581
470 -807.6160517422 811.685000395058
480 -826.188535622321 821.794248882501
490 -837.295246901088 839.741147644608
500 -856.162111766707 853.108703082685
510 -877.429643567275 878.37312401268
520 -897.04269961254 897.743634053898
530 -911.051179841204 911.58312977924
540 -927.468927582899 928.215619286763
550 -945.681636205208 945.231323731678
560 -964.011418204877 962.032810974312
570 -976.007246604156 976.53878296005
580 -993.374068010053 991.732189113053
590 -1012.77307902588 1013.26253283575
600 -1027.71466506822 1026.43536143739
610 -1039.6289785575 1040.51133779618
620 -1054.39166652641 1052.65635161531
630 -1077.87445835601 1076.75147360212
640 -1098.57613511529 1099.9597341843
650 -1121.29363317823 1118.77070576534
660 -1135.98899422762 1137.26741903622
670 -1153.28737582113 1150.94512871175
680 -1170.1508418396 1168.22795155402
690 -1190.24646204738 1186.14951495498
700 -1206.16217431551 1207.83062449978
710 -1219.98381317338 1219.89288417078
720 -1237.6189991751 1240.04110421123
730 -1257.83718442764 1256.21942085576
740 -1268.8651773223 1270.72028713734
750 -1287.62648592523 1288.75573251091
760 -1301.2409499322 1306.25476740345
770 -1319.08437216522 1323.58405120786
780 -1339.3082081821 1339.58765063952
790 -1358.05313689933 1357.17825727613
800 -1374.82199288043 1372.38973285202
810 -1391.21031799227 1389.58607259742
820 -1406.01659881459 1406.34674029439
830 -1421.64600129893 1418.97156553972
840 -1442.29143301655 1441.41180806639
850 -1458.64643826836 1458.40939587476
860 -1471.11232417768 1471.47237611702
870 -1494.10959991389 1494.94618145153
880 -1513.19860620957 1510.49629194962
890 -1522.59628484427 1522.62645868141
900 -1536.47495764707 1539.4056066623
910 -1554.80136420985 1554.23163151281
920 -1568.45865457618 1569.57558215328
930 -1581.04966148767 1581.96585695758
940 -1599.13827165715 1595.94447432818
950 -1617.32277712764 1616.23265690664
960 -1642.59168540898 1638.53604217615
970 -1652.76274770166 1651.09249628683
980 -1669.07426516697 1671.70616709243
990 -1687.28758601937 1682.71791262482
1000 -1702.05964258673 1702.39455058088
1010 -1713.89838169886 1717.15211637592
1020 -1734.2049968809 1732.10776753082
1030 -1752.15693442591 1754.42587963946
1040 -1769.24903005341 1768.63666227456
1050 -1788.26084443661 1790.74513830835
1060 -1810.64807189776 1809.63155412314
1070 -1826.34420205568 1826.28210458592
1080 -1842.51256453236 1843.29417924942
1090 -1858.84134854266 1858.59116314951
1100 -1876.66380993839 1879.25853452534
1110 -1894.20730257358 1893.21739532855
1120 -1908.48428378794 1907.91590373559
1130 -1924.32782984062 1926.56155152366
1140 -1945.53250033072 1943.07375782758
1150 -1959.72475605446 1957.92039994423
1160 -1974.94555948086 1975.77733205365
1170 -1990.45388664232 1990.69645757873
1180 -2007.27804398219 2007.25517485545
1190 -2024.34501517374 2022.37089281004
1200 -2041.2505925375 2041.71552945981
1210 -2058.66878757268 2060.57582890365
1220 -2072.76258389122 2070.51959373376
1230 -2085.5368251646 2087.96459206097
1240 -2102.91848485046 2102.24346539816
1250 -2119.76414339512 2123.24503343557
1260 -2138.98775884325 2136.1254223778
1270 -2150.42275333493 2148.12037007814
1280 -2165.24435551492 2164.63733700642
1290 -2184.31659710752 2184.99981507507
1300 -2206.53856180864 2208.35455145976
1310 -2227.38285538675 2226.24570029983
1320 -2242.25301988086 2242.55254517214
1330 -2258.56249660923 2257.39627735107
1340 -2271.49918948701 2272.06596849576
1350 -2287.49657582906 2290.3220243967
1360 -2307.00363371362 2306.51123757196
1370 -2321.45865251951 2324.37097015725
1380 -2341.30208811363 2341.37488691084
1390 -2363.63453484112 2363.47635646655
1400 -2383.57618600054 2383.16832515434
1410 -2400.6256565771 2398.98346333143
1420 -2413.69487851286 2414.05297872456
1430 -2430.94626180508 2433.12121215989
1440 -2446.05514095938 2453.78041942569
1450 -2466.19349773684 2462.83090850244
1460 -2480.02377521733 2478.17563114173
1470 -2492.89769801344 2498.2868654563
1480 -2508.46914605278 2511.58567332261
1490 -2528.22941235189 2526.75080272302
1500 -2546.02958494527 2543.35898870281
1510 -2562.73060622573 2563.02925248267
1520 -2581.66828319003 2582.33080202396
1530 -2598.4105970675 2597.33985447745
1540 -2616.82705686126 2617.05664330552
1550 -2634.23454578085 2635.00971466902
1560 -2652.33112501187 2652.68021670969
1570 -2676.01580702238 2672.5703085066
1580 -2693.01505170026 2692.43495248764
1590 -2709.35467512876 2709.97594565508
1600 -2723.79082386538 2726.55285061211
1610 -2741.18737779363 2740.73981472905
1620 -2753.20889091523 2755.47857919581
1630 -2775.80393072848 2773.64808537617
1640 -2793.74739540846 2789.22796216717
1650 -2806.7340400488 2806.46883271091
1660 -2823.23443673532 2823.25587743524
1670 -2840.68464405628 2842.32199604856
1680 -2857.82356002425 2856.6588135502
1690 -2875.68000622467 2878.1972759752
1700 -2896.74328929594 2898.55275727589
1710 -2909.57295344507 2910.14917564827
1720 -2930.27550292951 2928.26873954493
1730 -2949.28685382086 2947.23304510096
1740 -2968.98272420118 2965.88540493978
1750 -2981.1352900939 2980.45532883069
1760 -2997.70666791126 2998.58645697974
1770 -3011.34244164826 3012.03456679535
1780 -3030.92657979186 3033.04259129693
1790 -3053.18472808469 3052.45152970957
1800 -3077.27873000922 3074.23345330245
1810 -3091.00750666644 3092.09046906277
