t_ps E_hot_eV E_cold_eV
0 0 0
10 -4.93851462149234 5.21247162134262
20 -8.123287884103 6.57448288290378
30 -8.74348975795948 8.45867912186158
40 -11.581789603131 11.8517436507849
50 -14.2721277445547 13.2633421437117
60 -19.8443993472046 18.2056828437809
70 -24.4091236348153 21.6789380127503
80 -24.3386858417066 23.9511942736178
90 -30.7382846170807 25.6701697535553
100 -31.2209429290589 30.3210500039316
110 -33.3668807179553 32.4309132852599
120 -32.2236248629483 32.5940941640653
130 -35.2066564020546 35.7879982175332
140 -35.374186343518 39.7879442045366
150 -39.3685696362613 41.0080962922375
160 -42.342117741412 42.3691077085155
170 -43.8336720587126 45.50324087423
180 -46.4942026183311 48.2114018014496
190 -50.7796751863718 50.1600123012963
200 -52.5496166372265 51.1500955831376
210 -55.9496705394315 52.9635890710981
220 -56.7838787241759 58.0980623742226
230 -58.8242905194145 60.9720758209465
240 -62.0245664850243 61.863771623427
250 -65.387939077541 65.6063175862748
260 -71.3932029206344 69.3731614248823
270 -72.2130431705829 70.6893445682601
280 -74.3496525287009 73.6097844839964
290 -80.0621870610765 74.9495567073247
300 -82.45923350076 81.6510880363762
310 -83.8680133477757 85.4430289817396
320 -88.0633045734964 87.5934325131531
330 -90.1473767923135 90.2600672088042
340 -94.4536793456404 92.3522663493516
350 -94.7028277755848 93.7243065624743
360 -96.3518168623523 98.5768342135713
370 -100.425314386742 100.345330924887
380 -103.0214840341 102.316007372836
390 -104.119763659723 105.30128839943
400 -107.582567617007 108.056784968982
410 -110.319268313491 114.202139161156
420 -115.131516663511 114.340586628063
430 -117.580388017398 119.230579319856
440 -121.214067010514 120.562360028201
450 -124.28253556179 123.422747665214
460 -126.808380590405 128.23357558201
470 -130.908323090193 131.50575199663
480 -134.353368283425 133.64790531447
490 -138.006983448994 137.055922226134
500 -139.312812778176 140.408808226262
510 -144.122316837515 143.656540148288
520 -145.56914654699 144.768924295698
530 -149.51464980214 146.817339325872
540 -153.464638408984 152.343755651456
550 -158.837849291257 154.929006464178
560 -162.07488851174 156.637266460742
