timestep,chunk,coord,ncount,temperature
400000,1,0.0125,32.0,317.358
400000,2,0.0375,98.2235,320.09
400000,3,0.0625,111.554,314.706
400000,4,0.0875,110.154,310.738
400000,5,0.1125,96.576,311.434
400000,6,0.1375,110.743,309.151
400000,7,0.1625,110.589,306.7
400000,8,0.1875,98.1905,309.157
400000,9,0.2125,104.781,306.679
400000,10,0.2375,110.531,306.338
400000,11,0.2625,104.646,304.218
400000,12,0.2875,99.4825,303.122
400000,13,0.3125,111.024,303.8
400000,14,0.3375,109.242,303.11
400000,15,0.3625,96.874,300.234
400000,16,0.3875,109.907,297.142
400000,17,0.4125,110.781,297.469
400000,18,0.4375,98.9075,299.86
400000,19,0.4625,105.395,296.828
400000,20,0.4875,110.406,295.197
400000,21,0.5125,103.991,296.403
400000,22,0.5375,99.921,294.758
400000,23,0.5625,111.008,294.644
400000,24,0.5875,108.884,292.455
400000,25,0.6125,97.047,290.915
400000,26,0.6375,110.273,292.684
400000,27,0.6625,110.882,294.015
400000,28,0.6875,98.086,293.392
400000,29,0.7125,106.88,290.543
400000,30,0.7375,110.41,292.857
400000,31,0.7625,102.609,294.661
400000,32,0.7875,99.7015,292.117
400000,33,0.8125,110.686,290.319
400000,34,0.8375,109.508,289.887
400000,35,0.8625,96.4065,291.836
400000,36,0.8875,111.22,292.233
400000,37,0.9125,111.523,289.505
400000,38,0.9375,96.9555,285.743
400000,39,0.9625,107.462,280.163
400000,40,0.9875,20.537,281.834
800000,1,0.0125,32.0,318.321
800000,2,0.0375,97.553,320.719
800000,3,0.0625,111.721,311.576
800000,4,0.0875,110.667,304.429
800000,5,0.1125,96.24,303.187
800000,6,0.1375,110.915,303.21
800000,7,0.1625,111.022,303.95
800000,8,0.1875,97.9685,303.929
800000,9,0.2125,105.873,303.106
800000,10,0.2375,110.32,304.769
800000,11,0.2625,103.681,302.959
800000,12,0.2875,99.745,298.119
800000,13,0.3125,110.505,297.066
800000,14,0.3375,109.27,295.711
800000,15,0.3625,97.316,291.785
800000,16,0.3875,109.564,293.453
800000,17,0.4125,110.683,295.707
800000,18,0.4375,99.052,296.392
800000,19,0.4625,105.865,293.428
800000,20,0.4875,111.013,293.737
800000,21,0.5125,102.99,293.987
800000,22,0.5375,101.236,293.843
800000,23,0.5625,110.999,294.21
800000,24,0.5875,107.31,293.864
800000,25,0.6125,98.113,297.35
800000,26,0.6375,109.395,294.997
800000,27,0.6625,110.526,292.827
800000,28,0.6875,98.5125,290.135
800000,29,0.7125,106.456,288.178
800000,30,0.7375,110.689,290.334
800000,31,0.7625,102.797,287.739
800000,32,0.7875,100.484,288.034
800000,33,0.8125,110.632,288.662
800000,34,0.8375,108.838,287.082
800000,35,0.8625,96.439,287.999
800000,36,0.8875,111.16,287.226
800000,37,0.9125,111.442,284.795
800000,38,0.9375,97.0085,284.056
800000,39,0.9625,106.907,280.307
800000,40,0.9875,21.093,281.987
